held_out_case,pooling,distance_head,threshold_method,threshold,precision,recall,accuracy,f1,auc,pauc,cov_condition_number,config_name,model_hash,d_state,n_layers,expand,selective,discretization,flash_footprint_int8_kb,streaming_peak_ram_int8_kb,streaming_peak_ram_fp32_kb,head_flash_fp32_kb,total_flash_kb,flags_nothing,flags_everything,degenerate
1,mean,knn_clustered_16,evt_p95_equiv,1.4203669920882114,0.949074074074074,0.7765151515151515,0.8674242424242424,0.8541666666666666,0.8765065426997245,0.885230897491663,,d816f22117d5.yaml,7f055462360c,32,4,2,True,euler,151.8125,34.06640625,136.265625,4.0,155.8125,False,False,False
1,mean,knn_clustered_16,parametric_p95_equiv,1.427005854681971,0.9575471698113208,0.7689393939393939,0.8674242424242424,0.8529411764705882,0.8765065426997245,0.885230897491663,,d816f22117d5.yaml,7f055462360c,32,4,2,True,euler,151.8125,34.06640625,136.265625,4.0,155.8125,False,False,False
1,mean,knn_clustered_16,kde_p95_equiv,1.4283136513049417,0.9575471698113208,0.7689393939393939,0.8674242424242424,0.8529411764705882,0.8765065426997245,0.885230897491663,,d816f22117d5.yaml,7f055462360c,32,4,2,True,euler,151.8125,34.06640625,136.265625,4.0,155.8125,False,False,False
1,mean,knn_clustered_16,evt_p99_equiv,1.50519947449283,0.9897959183673468,0.7348484848484849,0.8636363636363636,0.8434782608695652,0.8765065426997245,0.885230897491663,,d816f22117d5.yaml,7f055462360c,32,4,2,True,euler,151.8125,34.06640625,136.265625,4.0,155.8125,False,False,False
1,mean,knn_clustered_16,parametric_p99_equiv,1.4831540777044818,0.984924623115578,0.7424242424242424,0.865530303030303,0.8466522678185745,0.8765065426997245,0.885230897491663,,d816f22117d5.yaml,7f055462360c,32,4,2,True,euler,151.8125,34.06640625,136.265625,4.0,155.8125,False,False,False
1,mean,knn_clustered_16,kde_p99_equiv,1.5173165387384502,0.9896373056994818,0.7234848484848485,0.8579545454545454,0.8358862144420132,0.8765065426997245,0.885230897491663,,d816f22117d5.yaml,7f055462360c,32,4,2,True,euler,151.8125,34.06640625,136.265625,4.0,155.8125,False,False,False
1,mean,knn_clustered_16,evt_p999_equiv,1.574350511453602,1.0,0.6287878787878788,0.8143939393939394,0.772093023255814,0.8765065426997245,0.885230897491663,,d816f22117d5.yaml,7f055462360c,32,4,2,True,euler,151.8125,34.06640625,136.265625,4.0,155.8125,False,False,False
1,mean,knn_clustered_16,parametric_p999_equiv,1.5381220540673384,0.9891891891891892,0.6931818181818182,0.8428030303030303,0.8151447661469933,0.8765065426997245,0.885230897491663,,d816f22117d5.yaml,7f055462360c,32,4,2,True,euler,151.8125,34.06640625,136.265625,4.0,155.8125,False,False,False
1,mean,knn_clustered_16,kde_p999_equiv,1.5985656448567067,1.0,0.5984848484848485,0.7992424242424242,0.7488151658767772,0.8765065426997245,0.885230897491663,,d816f22117d5.yaml,7f055462360c,32,4,2,True,euler,151.8125,34.06640625,136.265625,4.0,155.8125,False,False,False
1,mean,knn_clustered_16,mad,1.5775099415876523,1.0,0.625,0.8125,0.7692307692307693,0.8765065426997245,0.885230897491663,,d816f22117d5.yaml,7f055462360c,32,4,2,True,euler,151.8125,34.06640625,136.265625,4.0,155.8125,False,False,False
