clip_name,role,frame_index,phase,feature_delta_t_s,feature_energy_mj,backbone_delta_t_s,backbone_energy_mj,total_delta_t_s,total_energy_mj
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,0.0005200000014156,0.17806248628922758,0.0077600000076927,2.349286573083783,0.0083100000047124,2.536505429632362
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,0.000529999990249,0.18282673719311368,0.0077499999897554,2.3448786628257934,0.0083099999901605,2.536266726596038
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,0.0005200000014156,0.1812729849504243,0.0077500000043073,2.348767896084105,0.0083100000047124,2.5423156648174214
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,0.000529999990249,0.1811592681252883,0.0077499999897554,2.350309608770418,0.0083099999901605,2.540352221517058
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,0.0005300000048009,0.18210345662964214,0.0077500000043073,2.3533044278797357,0.0083100000047124,2.544167318945154
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,0.0005199999868636,0.17794002479164267,0.0077599999931408,2.3492366989087934,0.0083099999901605,2.536258948684097
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,0.0005300000048009,0.18195549685377954,0.0077500000043073,2.3550137700942195,0.0083100000047124,2.5458030631753608
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,0.0005300000048009,0.18185230763588542,0.0077500000043073,2.3545685137680117,0.0083100000047124,2.5452298064624026
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,0.000529999990249,0.18069251405020836,0.0077499999897554,2.3521870243394205,0.0083099999901605,2.5416389454909236
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,0.0005300000048009,0.18121157413914063,0.0077500000043073,2.3534522334587598,0.0083100000047124,2.5434727424586216
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,0.0005199999868636,0.1780870020138702,0.0077599999931408,2.353868369471095,0.0083099999901605,2.5410624434998983
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,0.0005200000014156,0.17809099456700442,0.0077599999931408,2.355627377053827,0.0083100000047124,2.5428496769371325
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,0.0005300000048009,0.18227628495054388,0.0077500000043073,2.3532285922665523,0.0083100000047124,2.544140499646936
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,0.0005200000014156,0.17779058182964919,0.0077599999931408,2.357782699952048,0.0083100000047124,2.544778948892083
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,0.0005200000014156,0.17890530942768135,0.0077599999931408,2.3589187352487313,0.0083099999901605,2.5469806049483323
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,0.0005200000014156,0.17679528062715907,0.0077600000076927,2.358031099360411,0.0083100000047124,2.5438832151055877
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,0.0005300000048009,0.18260135466415978,0.0077500000043073,2.3532772571590326,0.0083100000047124,2.544588517149821
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,0.0005300000048009,0.18168326965753978,0.0077500000043073,2.354445103389244,0.0083100000047124,2.5449373581067225
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,0.0005300000048009,0.1826450709546623,0.0077500000043073,2.351911366228019,0.0083100000047124,2.543439762509073
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,0.0005300000048009,0.18076220831759743,0.0077500000043073,2.3495393696231583,0.0083100000047124,2.5390857697684504
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,0.0005300000048009,0.18123628848859813,0.0077500000043073,2.3477861640948516,0.0083100000047124,2.537757312529085
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,0.0005300000048009,0.1806372882554556,0.0077500000043073,2.349641016884371,0.0083100000047124,2.5390624897966942
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,0.0005200000014156,0.17744824577393803,0.0077600000076927,2.3513417440633253,0.0083100000047124,2.5378965297728735
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,0.0005300000048009,0.18454043419168065,0.0077500000043073,2.3543952156899515,0.0083100000047124,2.547596058360382
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,0.0005199999868636,0.18104913070640521,0.0077499999897554,2.351692012994769,0.0083099999901605,2.5447926140533212
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,0.0005200000014156,0.18098046128929499,0.0077500000043073,2.3490427410169548,0.0083100000047124,2.5421242039093084
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,26,hop,0.0005200000014156,0.17783980612945782,0.0077599999931408,2.354735049915171,0.0083099999901605,2.5416816326151292
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,27,hop,0.0005300000048009,0.1812107780596255,0.0077500000043073,2.349370822920541,0.0083100000047124,2.5392915421779962
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,28,hop,0.0005200000014156,0.18125075566013457,0.0077500000043073,2.3510945447944382,0.0083000000013271,2.5414269682405033
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,29,hop,0.0005200000014156,0.18090489103578425,0.0077500000043073,2.355753816397359,0.0083000000013271,2.5458398493973875
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,30,hop,0.0005200000014156,0.1813280148931465,0.0077500000043073,2.3541945389064503,0.0083000000013271,2.5447036455601615
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,31,hop,0.0005200000014156,0.18144969684730053,0.007740000000922,2.3525597322031135,0.0083000000013271,2.546209625118694
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,32,hop,0.0005200000014156,0.17770727669549322,0.0077499999897554,2.3544654886694545,0.0083000000013271,2.5410066522032175
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,33,hop,0.0005200000014156,0.17941058374531565,0.007740000000922,2.3529352418484293,0.0083000000013271,2.544422005264054
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,34,hop,0.0005300000048009,0.1814612493100112,0.0077500000043073,2.3557587649997083,0.0083100000047124,2.54592991247417
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,35,hop,0.0005200000014156,0.1788106081392714,0.0077500000043073,2.357243250387059,0.0083000000013271,2.545334223658562
