clip_name,role,frame_index,phase,feature_delta_t_s,feature_energy_mj,backbone_delta_t_s,backbone_energy_mj,total_delta_t_s,total_energy_mj
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,0.0005499999970197,0.1808763842250048,0.0066000000224448,2.024368318820194,0.0071800000150687,2.2136822021415177
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,0.0005300000193528,0.17847235632079222,0.0065799999865703,2.0179752789220533,0.0071400000015273,2.2050835369660478
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,0.000529999990249,0.18071176700678804,0.0065799999865703,2.022182721152982,0.0071400000015273,2.2113816008491742
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,0.000529999990249,0.18060774585279718,0.0065800000156741,2.02335014243039,0.0071400000015273,2.212742224028382
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,0.0005200000014156,0.17450048231417895,0.0065800000156741,2.022310511741648,0.0071300000126939,2.2056201944179383
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,0.0005200000014156,0.17772010003030406,0.0065799999865703,2.029601278812136,0.0071400000015273,2.219323459405606
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,0.0005200000014156,0.1759497536871261,0.0065800000156741,2.026877570709655,0.0071300000126939,2.2119592528447694
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,0.0005200000014156,0.1749833014270679,0.0065900000045076,2.026794245167296,0.0071400000015273,2.210735789661775
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,0.0005200000014156,0.1772473359036594,0.0065800000156741,2.03299320312936,0.0071400000015273,2.22204435075559
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,0.0005200000014156,0.1754773015375866,0.0065800000156741,2.031432555805096,0.0071300000126939,2.2159423008511108
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,0.0005200000014156,0.17829067087263675,0.0065799999865703,2.031986113089362,0.0071400000015273,2.222303514331362
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,11,hop,0.0005200000014156,0.17682035715677763,0.0065900000045076,2.039314913850373,0.0071400000015273,2.2254406875570107
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,12,hop,0.000529999990249,0.18058186965827136,0.0065799999865703,2.037574532338047,0.0071400000015273,2.2269654395561025
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,13,hop,0.000529999990249,0.18068328741716264,0.0065800000156741,2.0317539463382666,0.0071400000015273,2.2211224395551303
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,14,hop,0.0005200000014156,0.17585285062926026,0.0065800000156741,2.0334935109147456,0.0071300000126939,2.2184533317946533
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,15,hop,0.0005200000014156,0.17528483297886968,0.0065899999754037,2.038568884361799,0.0071400000015273,2.222811478130578
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,16,hop,0.0005199999723117,0.1769998131519355,0.0065899999754037,2.041386685930174,0.0071399999724235,2.227319722068434
