layer,selective,discretization,min_ms,max_ms,median_ms,mean_ms,std_ms,frac_below_conv_window
0,True,euler,4.066992282867432,210.52198791503906,210.52198791503906,192.130126953125,54.427024841308594,0.103271484375
1,True,euler,3.8430891036987305,264.7747497558594,210.52198791503906,189.73748779296875,57.91498565673828,0.115234375
2,True,euler,2.90675687789917,602.7118530273438,210.52198791503906,177.18336486816406,71.03267669677734,0.190185546875
3,True,euler,2.4732141494750977,806.7911987304688,210.52198791503906,174.06492614746094,73.53386688232422,0.20703125
