clip_name,role,frame_index,phase,feature_delta_t_s,feature_power_mw,backbone_delta_t_s,backbone_power_mw,total_delta_t_s,total_power_mw
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,0,hop,0.0005200000014156,340.12304484025265,0.0032899999932851,325.45427836642966,0.0038399999903049,327.2695975647171
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,1,hop,0.0005200000014156,339.6027790435655,0.0032899999932851,326.3526246638319,0.0038399999903049,327.968843288905
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,2,hop,0.0005200000014156,340.32338205464686,0.0032899999932851,326.12552520208595,0.0038399999903049,327.8782822431357
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,3,hop,0.0005200000014156,341.9992262703594,0.0032899999932851,326.79647666061436,0.0038399999903049,328.69957811408466
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,4,hop,0.0005200000014156,341.28388494209617,0.0032899999932851,327.5503997471103,0.0038399999903049,329.2808284292
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,5,hop,0.0005300000193528,340.2643690109102,0.0032899999932851,327.24998019441034,0.0038500000082422,328.7474675541984
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,6,hop,0.000529999990249,340.40887591906915,0.0032899999932851,326.62341164742134,0.0038499999791383,328.2062000040548
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,7,hop,0.0005200000014156,341.5659403935956,0.0032899999932851,326.8271370549336,0.0038399999903049,328.641259777794
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,8,hop,0.0005300000193528,343.73735224453094,0.0032899999932851,325.9597465289785,0.0038500000082422,328.07797863453993
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,9,hop,0.000529999990249,342.14622680918814,0.0032899999932851,327.48396489372146,0.0038500000082422,329.2257695930431
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,10,hop,0.0005200000014156,344.35511090856266,0.0033000000112224,327.22698692514336,0.0038500000082422,329.35593482348344
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,11,hop,0.000529999990249,346.0815333852231,0.0032899999932851,326.38152042505146,0.0038499999791383,328.81253806103723
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,12,hop,0.0005199999723117,346.756026772927,0.0032899999932851,327.10856525240774,0.0038499999791383,329.50689761566014
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,13,hop,0.0005200000014156,343.6191090275823,0.0032900000223889,327.4762011544402,0.0038400000194087,329.4948646608271
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,14,hop,0.0005200000014156,341.52577087960634,0.0032899999932851,327.5612698510202,0.0038399999903049,329.27761601475214
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,15,hop,0.0005200000014156,346.0288311422201,0.0032899999932851,327.15971568664213,0.0038500000082422,329.4201530865527
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,16,hop,0.000529999990249,341.1097121173356,0.0032900000223889,326.6328386542194,0.0038500000082422,328.355747047019
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,17,hop,0.000529999990249,342.1830605878931,0.0032899999932851,327.58237571409865,0.0038500000082422,329.34709569853726
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,18,hop,0.000529999990249,347.7224290604224,0.0032900000223889,327.3031764694897,0.0038500000082422,329.8067172795667
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,19,hop,0.000529999990249,343.2978301387564,0.0032899999932851,327.28077574283975,0.0038499999791383,329.18495126880924
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,20,hop,0.0005200000014156,341.0417852271712,0.0032899999932851,327.28028635416666,0.0038399999903049,328.97133502471416
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,21,hop,0.0005200000014156,347.99398544943824,0.0032899999932851,328.1704950585796,0.0038500000082422,330.5750526028722
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,22,hop,0.0005200000014156,342.23209907622675,0.0032899999932851,327.8245198054488,0.0038399999903049,329.55368353509664
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,23,hop,0.0005200000014156,343.59049039002866,0.0032899999932851,327.03843219018177,0.0038500000082422,328.9872528665246
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,24,hop,0.000529999990249,342.88171139026406,0.0032899999932851,326.02019317571103,0.0038499999791383,328.0633097831386
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,25,hop,0.0005200000014156,347.5708367597554,0.0032899999932851,326.7591054211302,0.0038500000082422,329.29900301829593
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,26,hop,0.0005200000014156,343.1520600632226,0.0033000000112224,328.48782122879743,0.0038500000082422,330.26127941998897
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,27,hop,0.0005200000014156,349.80915751565175,0.0032900000223889,328.2601012350371,0.0038500000082422,330.93544217487704
1101010001_ToyCar_case1_ab01_IND_ch1_0001,anomaly,28,hop,0.0005200000014156,343.0579772162967,0.0033000000112224,327.0665614231237,0.0038500000082422,329.0497191399433
