clip_name,role,frame_index,phase,feature_delta_t_s,feature_power_mw,backbone_delta_t_s,backbone_power_mw,total_delta_t_s,total_power_mw
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,0,hop,0.0005499999970197,330.60860587222453,0.0025099999911617,329.65175957011445,0.0030899999983375,329.5126934919153
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,1,hop,0.0005199999868636,338.96608026787953,0.0024899999989429,331.0431676652565,0.003049999999348,331.9305694130517
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,2,hop,0.000529999990249,338.4955767895434,0.0024799999955575,332.2708770118275,0.0030399999959627,332.90152994639493
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,3,hop,0.0005200000014156,336.5580407883763,0.0024899999989429,332.9171909503004,0.0030399999959627,333.1767891545736
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,4,hop,0.000529999990249,338.95336019187755,0.0024799999955575,332.55129375646067,0.0030399999959627,333.21823161717157
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,5,hop,0.0005300000048009,337.8808101012447,0.0024899999989429,333.03617239594007,0.003049999999348,333.44179344302876
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,6,hop,0.0005200000014156,337.36743048333705,0.0024899999989429,332.796806810206,0.0030400000105146,333.26561566648525
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,7,hop,0.0005300000048009,343.93533035711226,0.0024899999989429,333.1852009119097,0.003049999999348,334.5667744918138
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,8,hop,0.0005200000014156,337.6094474457143,0.0024899999989429,333.8250203253876,0.0030399999959627,334.10024255084255
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,9,hop,0.0005300000048009,342.43082923812574,0.0024899999989429,333.51446288516655,0.003049999999348,334.61472507521165
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,10,hop,0.0005200000014156,337.71090216542194,0.0024899999989429,333.465092022442,0.0030399999959627,333.87992501254496
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,11,hop,0.0005200000014156,338.94375776816474,0.0024899999989429,334.2321722452346,0.0030399999959627,334.67826541624237
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,12,hop,0.0005200000014156,338.99184394254104,0.0024900000134948,333.7736577517484,0.0030400000105146,334.3354252578831
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,13,hop,0.0005200000014156,337.8457820664897,0.0024899999989429,334.0431496154049,0.0030399999959627,334.3355927592021
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,14,hop,0.0005300000048009,340.06639766426036,0.0024800000101095,333.75225644246274,0.0030400000105146,334.46539461735756
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,15,hop,0.0005300000048009,339.9382169489672,0.0024899999989429,334.46196666346805,0.003049999999348,334.96330149754743
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,16,hop,0.0005300000048009,340.04145162731464,0.0024899999989429,333.7841952518763,0.003049999999348,334.4116699244123
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,17,hop,0.000529999990249,341.86142140230373,0.0024899999989429,334.5025541142021,0.003049999999348,335.3549845317347
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,18,hop,0.0005300000048009,338.6651785851424,0.0024899999989429,333.6334256090115,0.003049999999348,334.10626948957787
1100010004_ToyCar_case1_normal_IND_ch1_0004,normal,19,hop,0.0005300000048009,341.8216647411628,0.0024800000101095,333.2319947658197,0.0030400000105146,334.28988844142475
