held_out_case,pooling,distance_head,threshold_method,threshold,precision,recall,accuracy,f1
2,mean,euclidean,perentile_same_machie_95.0,1.4274166822433472,0.9347826086956522,0.8113207547169812,0.8773584905660378,0.8686868686868687
2,mean,euclidean,perentile_same_machie_99.0,1.4583194255828857,0.985981308411215,0.7962264150943397,0.8924528301886793,0.8810020876826722
2,mean,euclidean,perentile_same_machie_99.5,1.4619451761245728,0.9905660377358491,0.7924528301886793,0.8924528301886793,0.8805031446540881
2,mean,mahalanobis,perentile_same_machie_95.0,35.2982766066735,0.9814126394052045,0.9962264150943396,0.9886792452830189,0.9887640449438202
2,mean,mahalanobis,perentile_same_machie_99.0,36.079390302402665,0.9962264150943396,0.9962264150943396,0.9962264150943396,0.9962264150943396
2,mean,mahalanobis,perentile_same_machie_99.5,36.40693573830839,1.0,0.9962264150943396,0.9981132075471698,0.998109640831758
2,mean,knn_full,perentile_same_machie_95.0,1.0313307278633947,0.9545454545454546,0.9509433962264151,0.9528301886792453,0.9527410207939508
2,mean,knn_full,perentile_same_machie_99.0,1.047423114132412,0.980544747081712,0.9509433962264151,0.9660377358490566,0.9655172413793104
2,mean,knn_full,perentile_same_machie_99.5,1.0550429755552577,0.996031746031746,0.9471698113207547,0.9716981132075472,0.9709864603481625
2,mean,knn_clustered_16,perentile_same_machie_95.0,1.1415491574803291,0.9465648854961832,0.9358490566037736,0.9415094339622642,0.9411764705882353
2,mean,knn_clustered_16,perentile_same_machie_99.0,1.164887962966125,0.984,0.9283018867924528,0.9566037735849057,0.9553398058252427
2,mean,knn_clustered_16,perentile_same_machie_99.5,1.1694043712453128,0.9879518072289156,0.9283018867924528,0.9584905660377359,0.9571984435797666
2,max,euclidean,perentile_same_machie_95.0,1.8737224340438843,0.9133858267716536,0.8754716981132076,0.8962264150943396,0.8940269749518305
2,max,euclidean,perentile_same_machie_99.0,2.0211360454559326,0.9814814814814815,0.8,0.8924528301886793,0.8814968814968815
2,max,euclidean,perentile_same_machie_99.5,2.0472145080566406,0.9858490566037735,0.7886792452830189,0.8886792452830189,0.8763102725366876
2,max,mahalanobis,perentile_same_machie_95.0,11.250290754307777,0.9294117647058824,0.8943396226415095,0.9132075471698113,0.9115384615384615
2,max,mahalanobis,perentile_same_machie_99.0,11.975853052080394,0.981651376146789,0.8075471698113208,0.8962264150943396,0.8861283643892339
2,max,mahalanobis,perentile_same_machie_99.5,12.171215887102353,0.9855769230769231,0.7735849056603774,0.8811320754716981,0.8668076109936576
2,max,knn_full,perentile_same_machie_95.0,1.749350410969516,0.9087136929460581,0.8264150943396227,0.8716981132075472,0.8656126482213439
2,max,knn_full,perentile_same_machie_99.0,1.8477090403319658,0.9796954314720813,0.7283018867924528,0.8566037735849057,0.8354978354978355
2,max,knn_full,perentile_same_machie_99.5,1.8698282729679827,0.984375,0.7132075471698113,0.8509433962264151,0.8271334792122538
2,max,knn_clustered_16,perentile_same_machie_95.0,1.7550725846657012,0.9214876033057852,0.8415094339622642,0.8849056603773585,0.8796844181459567
2,max,knn_clustered_16,perentile_same_machie_99.0,1.8655348110388434,0.9701492537313433,0.7358490566037735,0.8566037735849057,0.8369098712446352
2,max,knn_clustered_16,perentile_same_machie_99.5,1.9257755999306692,0.9782608695652174,0.6792452830188679,0.8320754716981132,0.8017817371937639
2,concat_mean_last,euclidean,perentile_same_machie_95.0,1.8892155885696411,0.8888888888888888,0.5132075471698113,0.7245283018867924,0.6507177033492823
2,concat_mean_last,euclidean,perentile_same_machie_99.0,2.0623464584350586,0.9716981132075472,0.3886792452830189,0.6886792452830188,0.555256064690027
2,concat_mean_last,euclidean,perentile_same_machie_99.5,2.14494252204895,1.0,0.3283018867924528,0.6641509433962264,0.4943181818181818
2,concat_mean_last,mahalanobis,perentile_same_machie_95.0,128.63063600013479,0.5609756097560976,0.08679245283018867,0.5094339622641509,0.1503267973856209
2,concat_mean_last,mahalanobis,perentile_same_machie_99.0,151.69514187099463,0.8947368421052632,0.06415094339622641,0.5283018867924528,0.11971830985915492
2,concat_mean_last,mahalanobis,perentile_same_machie_99.5,156.1157452907653,0.8947368421052632,0.06415094339622641,0.5283018867924528,0.11971830985915492
2,concat_mean_last,knn_full,perentile_same_machie_95.0,1.3317590175275171,0.919047619047619,0.7283018867924528,0.8320754716981132,0.8126315789473684
2,concat_mean_last,knn_full,perentile_same_machie_99.0,1.455755611056899,0.9798657718120806,0.5509433962264151,0.769811320754717,0.7053140096618358
2,concat_mean_last,knn_full,perentile_same_machie_99.5,1.5326873612700127,0.9915966386554622,0.44528301886792454,0.720754716981132,0.6145833333333334
2,concat_mean_last,knn_clustered_16,perentile_same_machie_95.0,1.6019510338663394,0.875,0.4490566037735849,0.6924528301886792,0.5935162094763092
2,concat_mean_last,knn_clustered_16,perentile_same_machie_99.0,1.7532146180244905,0.9594594594594594,0.2679245283018868,0.6283018867924528,0.41887905604719766
2,concat_mean_last,knn_clustered_16,perentile_same_machie_99.5,1.8469467492948222,0.9767441860465116,0.15849056603773584,0.5773584905660377,0.2727272727272727
